23dhb[c]	0.00011673	0.000164159
3pg[c]	0.00117998	0.00159094
6pgc[c]	0.00369065	0.00384865
aacoa[c]	1.36537e-005	3.4653e-005
accoa[c]	0.000528847	0.000694205
actp[c]	0.00101696	0.00113334
ade[c]	1.26498e-006	1.71023e-006
adn[c]	9.44076e-008	1.82186e-007
adp[c]	0.000437212	0.000704481
adpglc[c]	2.82959e-006	6.44192e-006
ala-L[c]	0.0023215	0.00280326
akg[c]	0.00031179	0.000630606
amp[c]	0.000231854	0.000340894
anth[c]	3.34404e-006	3.61728e-006
aps[c]	5.09565e-006	8.61941e-006
arg-L[c]	0.000479438	0.000674553
asn-L[c]	0.000441517	0.000592182
asp-L[c]	0.00355755	0.00504108
atp[c]	0.00812679	0.0114103
cbasp[c]	0.000364349	0.000954996
acon-C[c]	1.37624e-005	1.88475e-005
cit[c]	0.00192712	0.00247848
citr-L[c]	0.00123399	0.00147622
cmp[c]	0.000186684	0.000693982
coa[c]	8.8328e-005	0.0211779
ctp[c]	0.00227375	0.00326699
camp[c]	2.82226e-005	4.3867e-005
cytd[c]	1.1819e-006	5.6694e-006
csn[c]	8.65377e-006	2.28571e-005
damp[c]	2.98772e-006	2.6163e-005
datp[c]	8.13414e-006	2.961e-005
dctp[c]	2.60386e-005	4.57188e-005
dad-2[c]	1.79635e-006	4.41389e-006
dgsn[c]	4.11049e-007	6.61992e-007
5drib[c]	4.82174e-005	0.00189946
glcn[c]	5.73991e-006	0.000302059
dgmp[c]	3.9104e-005	6.58095e-005
dhap[c]	0.00034435	0.00040536
dhor-S[c]	1.15583e-005	1.23388e-005
[c]	0.000982714	0.00177133
fad[c]	9.32557e-005	0.000319304
fdp[c]	0.0140394	0.0163923
fmn[c]	3.8437e-005	7.51403e-005
fum[c]	2.98185e-006	0.00445205
gdp[c]	0.000499186	0.000915648
[c]	0.000646698	0.00168373
gam6p[c]	0.000958927	0.00139013
glu-L[c]	0.092391	0.0997981
gln-L[c]	0.00349721	0.00415413
glyc-R[c]	0.00064426	0.00308201
glyc2p+glyc3p[c]	1.28507e-005	0.000186793
gmp[c]	1.66472e-005	3.37583e-005
gtp[c]	0.00156974	0.0151054
gua[c]	0.000131738	0.00026864
gsn[c]	1.21815e-006	2.16621e-006
g6p[c]	0.00843119	0.00907547
his-L[c]	4.58284e-005	9.96996e-005
histd[c]	1.25517e-005	1.30028e-005
hcys-L[c]	0.000365232	0.000374977
idp[c]	1.75549e-005	3.22037e-005
imp[c]	0.000173259	0.000425658
ile-L+leu-L[c]	0.000298345	0.000307553
itp[c]	0.00013849	0.000303348
lys-L[c]	0.000326779	0.000502331
mal-L[c]	0.00165684	0.00170168
malcoa[c]	4.05043e-007	0.00308556
met-L[c]	0.000130505	0.000160783
inost[c]	4.22395e-006	7.74577e-006
acgam1p+acgam6p[c]	7.24727e-005	9.25975e-005
acorn[c]	2.70675e-005	6.93583e-005
nad[c]	0.0238939	0.0288673
nadh[c]	0.000309341	0.000722603
nadp[c]	1.39642e-007	3.10945e-005
nadph[c]	0.000110441	0.000133644
orot5p[c]	8.39648e-005	0.000118995
orn[c]	6.80784e-006	1.50735e-005
orot[c]	0.000496722	0.000533194
gthox[c]	0.00194362	0.00289737
4hbz[c]	0.000250735	0.000331054
phe-L[c]	1.77247e-005	1.87319e-005
phpyr[c]	0.000110805	0.000161882
pep[c]	0.000145582	0.000231318
pro-L[c]	0.000371748	0.000399184
ppcoa[c]	3.88174e-006	7.29397e-006
prpp[c]	0.00013554	0.000492431
quln[c]	2.41105e-006	5.49069e-005
gthrd[c]	0.0153416	0.0178694
ribflv[c]	1.72075e-005	2.10558e-005
amet[c]	0.000119047	0.000284376
ser-L[c]	2.56993e-005	0.000180056
skm[c]	7.01965e-006	2.81361e-005
succ[c]	0.000326941	0.000990227
succoa[c]	0.000142334	0.00038293
dtdp[c]	0.000336536	0.000425611
thr-L[c]	0.000174371	0.000184505
tre[c]	0.00280997	0.0033111
trp-L[c]	1.14156e-005	1.28815e-005
dttp[c]	0.00420908	0.00508053
tyr-L[c]	1.86797e-005	4.47142e-005
udp[c]	0.00118283	0.00272121
udpg[c]	0.00122706	0.00511365
udpglcur[c]	0.000119946	0.00266849
uacgam[c]	0.00679452	0.012573
uri[c]	0.00195964	0.00223566
utp[c]	0.00775726	0.00885861
val-L[c]	0.00352914	0.00457628
