X,SRS011061,SRS012902,SRS011134,SRS054956
Bacteroides_cellulosilyticus_DSM_14838,0.24836262,0,0.007580471,0
Parabacteroides_merdae_ATCC_43184,0.199160454,0.002026689,0.011523775,0.000188864
Bacteroides_vulgatus_ATCC_8482,0.06769322,0.273013835,0.03869526,0
Alistipes_putredinis_DSM_17216,0.065843909,0.00226117,0.2310887,0.008057376
Bacteroides_sp_4_3_47FAA,0.062667628,0.251363476,0.034143612,0.002158146
Bacteroides_caccae_ATCC_43185,0,0,0.089908554,0.000762863
Burkholderiales_bacterium_1_1_47,0.039272159,0.021122556,0.015162691,0
Bacteroides_sp_20_3,0.034319588,0.003995761,0.014762258,0.001851303
Bacteroides_ovatus_ATCC_8483,0.03110225,0.067251968,0.005820405,0.137563837
Bacteroides_sp_2_1_33B,0.028711098,0,0.018395997,0.007427262
