Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
10fthf5glu[c]	-2316.93	17.23	-359.78	-389.47	-371.65	1.00e-05	1.00e-02
10fthf5glu[l]	-2316.93	17.23	-814.49	-844.18	-826.37	1.00e-05	1.00e-02
10fthf5glu[m]	-2316.93	17.23	-146.01	-175.70	-157.89	1.00e-05	1.00e-02
10fthf6glu[c]	-2774.74	25.06	-556.67	-586.36	-568.55	1.00e-05	1.00e-02
10fthf6glu[l]	-2774.74	25.06	-1073.18	-1102.87	-1085.06	1.00e-05	1.00e-02
10fthf6glu[m]	-2774.74	25.06	-314.37	-344.06	-326.25	1.00e-05	1.00e-02
10fthf7glu[c]	-3151.30	21.91	-672.24	-701.93	-684.11	1.00e-05	1.00e-02
10fthf7glu[l]	-3151.30	21.91	-1248.04	-1277.73	-1259.92	1.00e-05	1.00e-02
10fthf7glu[m]	-3151.30	21.91	-401.47	-431.16	-413.34	1.00e-05	1.00e-02
10fthf[c]	-642.18	6.68	269.73	240.04	257.86	1.00e-05	1.00e-02
10fthf[l]	-642.18	6.68	56.49	26.80	44.62	1.00e-05	1.00e-02
10fthf[m]	-642.18	6.68	366.54	336.85	354.66	1.00e-05	1.00e-02
11docrtsl[c]	-383.37	14.45	921.40	891.71	909.53	1.00e-05	1.00e-02
11docrtsl[m]	-383.37	14.45	1063.91	1034.22	1052.03	1.00e-05	1.00e-02
11docrtsl[r]	-383.37	14.45	921.40	891.71	909.53	1.00e-05	1.00e-02
11docrtstrn[c]	-234.15	14.29	1070.62	1040.93	1058.75	1.00e-05	1.00e-02
11docrtstrn[m]	-234.15	14.29	1213.13	1183.44	1201.25	1.00e-05	1.00e-02
11docrtstrn[r]	-234.15	14.29	1070.62	1040.93	1058.75	1.00e-05	1.00e-02
13dampp[c]	-51.43	4.94	470.22	440.53	458.34	1.00e-05	1.00e-02
h2o[c]	-238.67	0.90	-151.68	-151.68	-151.68	1.00e+00	1.00e+00
o2[c]	16.40	3.37	16.40	-13.29	4.52	1.00e-05	1.00e-02
bamppald[c]	-152.55	5.10	195.37	165.68	183.50	1.00e-05	1.00e-02
h2o2[c]	-134.03	3.59	-47.05	-76.74	-58.92	1.00e-05	1.00e-02
nh4[c]	-83.39	2.10	90.48	71.75	72.39	7.00e-04	9.00e-04
