% HMDB reference range library						
"% HMDB was downloaded in Jan 2015. It was then parsed for all metabolites,"						
% their corresponding biofluid and concentration ranges for normal						
% conditions.						
"% if multiple data were available, their were combined to one range taking"						
% the highest and lowest reported value. For values were only means and the						
% std was given the range was calculated by assume 2 stds. We did not						
% discriminate between the sexes for these ranges as data were too sparse						
% and would require review of the original papers.						
% Parsed_hmdbConc.xlsx						
% ################						
HMDB ID	VMH ID	Compartment	Condition	unit	translated range - min	translated range - max
HMDB05199	C09642	Blood	Normal	uM	0	0.0052
HMDB01389	melatn	Blood	Normal	uM	0	0.00592
HMDB00306	tym	Blood	Normal	uM	0	0.0137
HMDB02287	CE1401	Blood	Normal	uM	0	0.01508
HMDB00936	C05767	Blood	Normal	uM	0	0.024
HMDB01336	34dhpha	Blood	Normal	uM	0	0.038
HMDB04362	CE2006	Blood	Normal	uM	0	0.23
HMDB00645	gal1p	Blood	Normal	uM	0	127
HMDB01294	23dpg	Blood	Normal	uM	0	2130
HMDB01881	12ppd_R	Blood	Normal	uM	0	25.6
HMDB00751	xylu_L	Blood	Normal	uM	0	33
HMDB00669	2hyoxplac	Blood	Normal	uM	0	6.463
HMDB01644	xylu_D	Blood	Normal	uM	0	5
HMDB00245	ppbng	Blood	Normal	uM	0	0.12
HMDB00570	C05770	Blood	Normal	uM	0	0.012
HMDB00643	C05769	Blood	Normal	uM	0	0.022
HMDB03378	no	Blood	Normal	uM	0	0.0000024
HMDB04385	C06314	Blood	Normal	uM	0	0.000079
HMDB01085	leuktrB4	Blood	Normal	uM	0	0.00012
HMDB06224	estradiolglc	Blood	Normal	uM	0	0.000164
HMDB01139	prostgf2	Blood	Normal	uM	0	0.000659
HMDB02200	leuktrE4	Blood	Normal	uM	0	0.00072
HMDB01403	prostgd2	Blood	Normal	uM	0	0.001016
HMDB01198	leuktrC4	Blood	Normal	uM	0	0.001359
HMDB05045	CE2537	Blood	Normal	uM	0	0.001632
HMDB02232	C14769	Blood	Normal	uM	0	0.002047
HMDB06552	aflatoxin	Blood	Normal	uM	0	0.00284
HMDB00819	normete_L	Blood	Normal	uM	0	0.00285
HMDB02710	C05957	Blood	Normal	uM	0	0.003
HMDB01425	estrones	Blood	Normal	uM	0	0.00411
HMDB00900	vitd2	Blood	Normal	uM	0	0.0042
HMDB04244	15HPET	Blood	Normal	uM	0	0.00605
HMDB01220	prostge2	Blood	Normal	uM	0	0.00792
HMDB01562	5fthf	Blood	Normal	uM	0	0.0097
HMDB00216	nrpphr	Blood	Normal	uM	0	0.011
HMDB02961	5adtststerone	Blood	Normal	uM	0	0.011
HMDB10204	CE7172	Blood	Normal	uM	0	0.011
HMDB01846	thf	Blood	Normal	uM	0	0.0113
HMDB02177	eicostet	Blood	Normal	uM	0	0.014
HMDB03555	phyQ	Blood	Normal	uM	0	0.017
HMDB03871	C04717	Blood	Normal	uM	0	0.01701
HMDB04702	C14826	Blood	Normal	uM	0	0.02481
HMDB02190	C14768	Blood	Normal	uM	0	0.02664
HMDB01520	fmn	Blood	Normal	uM	0	0.034
HMDB04701	C14825	Blood	Normal	uM	0	0.03448
HMDB03550	25hvitd3	Blood	Normal	uM	0	0.0705
HMDB01830	prgstrn	Blood	Normal	uM	0	0.089
HMDB00876	vitd3	Blood	Normal	uM	0	0.1057
HMDB02014	tetdece1crn	Blood	Normal	uM	0	0.12
HMDB06469	lnlccrn	Blood	Normal	uM	0	0.12
HMDB01438	25hvitd2	Blood	Normal	uM	0	0.1339
HMDB00318	34dhoxpeg	Blood	Normal	uM	0	0.18
HMDB01248	fad	Blood	Normal	uM	0	0.186
HMDB02095	c3dc	Blood	Normal	uM	0	0.2
HMDB02013	c4crn	Blood	Normal	uM	0	0.293
HMDB06543	debrisoquine	Blood	Normal	uM	0	0.323
HMDB01414	ptrc	Blood	Normal	uM	0	0.374
HMDB00118	homoval	Blood	Normal	uM	0	0.46
HMDB00273	thymd	Blood	Normal	uM	0	0.47
HMDB00651	c10crn	Blood	Normal	uM	0	0.48
HMDB13324	c81crn	Blood	Normal	uM	0	0.5
HMDB01852	retn	Blood	Normal	uM	0	0.56
HMDB01358	retinal	Blood	Normal	uM	0	0.619
HMDB00089	cytd	Blood	Normal	uM	0	0.63
HMDB00036	tchola	Blood	Normal	uM	0	0.78
HMDB00707	34hpp	Blood	Normal	uM	0	0.83
HMDB00063	crtsl	Blood	Normal	uM	0	1.06
HMDB00301	urcan	Blood	Normal	uM	0	1.09
HMDB06547	strdnc	Blood	Normal	uM	0	1.208
HMDB01491	pydx5p	Blood	Normal	uM	0	1.26
HMDB00138	gchola	Blood	Normal	uM	0	1.4
HMDB00259	srtn	Blood	Normal	uM	0	1.53
HMDB02356	hexc	Blood	Normal	uM	0	1.73
HMDB00012	duri	Blood	Normal	uM	0	1.8
HMDB00133	gsn	Blood	Normal	uM	0	1.8
HMDB00123	gly	Blood	Normal	uM	0	1010
HMDB00190	lac_L	Blood	Normal	uM	0	10400
HMDB06528	clpnd	Blood	Normal	uM	0	11.5
HMDB00172	ile_L	Blood	Normal	uM	0	120
HMDB00725	4hpro_LT	Blood	Normal	uM	0	120
HMDB00257	tsul	Blood	Normal	uM	0	120.422
HMDB04080	C11695	Blood	Normal	uM	0	13.77
HMDB00175	imp	Blood	Normal	uM	0	145
HMDB00148	glu_L	Blood	Normal	uM	0	157
HMDB01256	sprm	Blood	Normal	uM	0	16.49
HMDB01257	spmd	Blood	Normal	uM	0	17.86
HMDB00033	carn	Blood	Normal	uM	0	18.1
HMDB02183	crvnc	Blood	Normal	uM	0	180.7
HMDB00482	octa	Blood	Normal	uM	0	19
HMDB00011	bhb	Blood	Normal	uM	0	192
HMDB00067	chsterol	Blood	Normal	uM	0	196
HMDB00112	4abut	Blood	Normal	uM	0	2
HMDB00518	C02528	Blood	Normal	uM	0	2.6
HMDB00292	xan	Blood	Normal	uM	0	2.83
HMDB02368	nrvnc	Blood	Normal	uM	0	2.848
HMDB00056	ala_B	Blood	Normal	uM	0	20
HMDB01870	bz	Blood	Normal	uM	0	213.016
HMDB02212	arach	Blood	Normal	uM	0	22.2
HMDB00630	csn	Blood	Normal	uM	0	23.4
HMDB01170	lthstrl	Blood	Normal	uM	0	23.9
HMDB01659	acetone	Blood	Normal	uM	0	2310
HMDB00243	pyr	Blood	Normal	uM	0	258
HMDB01167	mthgxl	Blood	Normal	uM	0	264
HMDB00251	taur	Blood	Normal	uM	0	282
HMDB00230	acnam	Blood	Normal	uM	0	3.09
HMDB00826	ptdca	Blood	Normal	uM	0	3.712
HMDB00561	caro	Blood	Normal	uM	0	3.92
HMDB02231	CE2510	Blood	Normal	uM	0	3.924
HMDB00158	tyr_L	Blood	Normal	uM	0	320
HMDB02925	dlnlcg	Blood	Normal	uM	0	33.205
HMDB01388	lnlnca	Blood	Normal	uM	0	34.3
HMDB00128	gudac	Blood	Normal	uM	0	37
HMDB00224	ethamp	Blood	Normal	uM	0	38.8
HMDB00286	udpg	Blood	Normal	uM	0	381
HMDB00714	bgly	Blood	Normal	uM	0	39.06
HMDB00143	gal	Blood	Normal	uM	0	394
HMDB00237	ppa	Blood	Normal	uM	0	4
