Reaction ID	Standard reaction Gibbs energy (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed reaction Gibbs energy (kJ/mol)	Minimum transformed reaction Gibbs energy (kJ/mol)	Maximum transformed reaction Gibbs energy (kJ/mol)
12DGR120tipp	0.00	0.00	0.00	-19.60	19.60
12DGR140tipp	0.00	0.00	0.00	-19.60	19.60
12DGR141tipp	0.00	0.00	0.00	-19.60	19.60
12DGR160tipp	0.00	0.00	0.00	-19.60	19.60
12DGR161tipp	0.00	0.00	0.00	-19.60	19.60
12DGR180tipp	0.00	0.00	0.00	-19.60	19.60
12DGR181tipp	0.00	0.00	0.00	-19.60	19.60
12PPDRtex	0.00	0.00	0.00	-19.60	19.60
12PPDRtpp	0.00	0.00	0.00	-19.60	19.60
12PPDStex	0.00	0.00	0.00	-19.60	19.60
12PPDStpp	0.00	0.00	0.00	-19.60	19.60
14GLUCANabcpp	-854.76	141421.36	-853.04	-278107.78	276361.94
14GLUCANtexi	0.00	0.00	0.00	-19.60	19.60
23CAMPtex	0.00	0.00	0.00	-19.60	19.60
23CCMPtex	0.00	0.00	0.00	-19.60	19.60
23CGMPtex	0.00	0.00	0.00	-19.60	19.60
23CUMPtex	0.00	0.00	0.00	-19.60	19.60
23DAPPAt2pp	0.00	0.00	-17.37	-36.97	2.23
23DAPPAtex	0.00	0.00	0.00	-19.60	19.60
23PDE2pp	239.08	141421.36	235.64	-276969.82	277441.09
23PDE4pp	239.08	141421.36	235.64	-276969.82	277441.09
23PDE7pp	239.08	141421.36	235.64	-276969.82	277441.09
23PDE9pp	239.08	141421.36	235.64	-276969.82	277441.09
26DAHtex	0.00	0.00	0.00	-19.60	19.60
2AGPA120tipp	0.00	0.00	8.68	-10.92	28.28
2AGPA140tipp	0.00	0.00	8.68	-10.92	28.28
2AGPA141tipp	0.00	0.00	8.68	-10.92	28.28
2AGPA160tipp	0.00	0.00	8.68	-10.92	28.28
2AGPA161tipp	0.00	0.00	8.68	-10.92	28.28
2AGPA180tipp	0.00	0.00	8.68	-10.92	28.28
2AGPA181tipp	0.00	0.00	8.68	-10.92	28.28
2AGPE120tipp	0.00	0.00	0.00	-19.60	19.60
2AGPE140tipp	0.00	0.00	0.00	-19.60	19.60
2AGPE141tipp	0.00	0.00	0.00	-19.60	19.60
2AGPE160tipp	0.00	0.00	0.00	-19.60	19.60
2AGPE161tipp	0.00	0.00	0.00	-19.60	19.60
2AGPE180tipp	0.00	0.00	0.00	-19.60	19.60
2AGPE181tipp	0.00	0.00	0.00	-19.60	19.60
2AGPEAT120	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPEAT140	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPEAT141	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPEAT160	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPEAT161	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPEAT180	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPEAT181	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPG120tipp	0.00	0.00	8.68	-10.92	28.28
2AGPG140tipp	0.00	0.00	8.68	-10.92	28.28
2AGPG141tipp	0.00	0.00	8.68	-10.92	28.28
2AGPG160tipp	0.00	0.00	8.68	-10.92	28.28
2AGPG161tipp	0.00	0.00	8.68	-10.92	28.28
2AGPG180tipp	0.00	0.00	8.68	-10.92	28.28
2AGPG181tipp	0.00	0.00	8.68	-10.92	28.28
2AGPGAT120	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPGAT140	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPGAT141	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPGAT160	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPGAT161	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPGAT180	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2AGPGAT181	-1972.40	223606.80	-1968.96	-440297.08	436359.17
2DGLCNRx	-24.91	141421.36	-21.47	-277246.53	277203.59
2DGLCNRy	-28.31	141421.36	-21.43	-277246.49	277203.63
2DGULRx	-24.91	141421.36	-21.47	-277246.53	277203.59
2DGULRy	-28.31	141421.36	-21.43	-277246.49	277203.63
2MAHMP	-854.76	141421.36	-854.76	-278089.90	276340.61
34dhpactex	0.00	0.00	0.00	-19.60	19.60
3AMPtex	0.00	0.00	0.00	-19.60	19.60
3CMPtex	0.00	0.00	0.00	-19.60	19.60
3GMPtex	0.00	0.00	0.00	-19.60	19.60
3HAD100	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD120	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD121	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD140	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD141	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD160	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD161	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD180	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD181	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD40	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD60	-239.08	141421.36	-239.08	-277444.54	276966.38
3HAD80	-239.08	141421.36	-239.08	-277444.54	276966.38
3HCINNMH	-280.38	141421.36	-276.94	-277491.91	276977.81
3HPPPNH	-280.38	141421.36	-276.94	-277491.91	276977.81
3KGK	-0.00	200000.00	-1.72	-392040.92	392037.48
3NTD2pp	-854.76	141421.36	-854.76	-278089.90	276340.61
3NTD4pp	-854.76	141421.36	-854.76	-278089.90	276340.61
3NTD7pp	-854.76	141421.36	-854.76	-278089.90	276340.61
3NTD9pp	-854.76	141421.36	-854.76	-278089.90	276340.61
3OAR100	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR120	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR121	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR140	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR141	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR160	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR161	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR180	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR181	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR40	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR60	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAR80	-28.31	141421.36	-21.43	-277246.49	277203.63
3OAS100	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS120	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS121	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS140	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS141	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS160	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS161	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS180	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS181	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS60	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS80	-386.00	200000.00	-382.56	-392451.45	391646.55
3PEPTabcpp	-854.76	141421.36	-844.35	-278099.10	276370.62
3PEPTtex	0.00	0.00	0.00	-19.60	19.60
3UMPtex	0.00	0.00	0.00	-19.60	19.60
42A12BOOXpp	9.23	141421.36	9.23	-277245.52	277224.20
4HOXPACDtex	0.00	0.00	0.00	-19.60	19.60
4HTHRS	-854.76	141421.36	-854.76	-278089.90	276340.61
4PCP	239.08	173205.08	239.08	-339292.17	339730.55
4PCPpp	239.08	173205.08	239.08	-339292.17	339730.55
4PEPTabcpp	-854.76	141421.36	-844.35	-278099.10	276370.62
4PEPTtex	0.00	0.00	0.00	-19.60	19.60
5DGLCNR	-28.31	141421.36	-21.43	-277246.49	277203.63
5DGLCNt2rpp	0.00	0.00	0.00	-19.60	19.60
5DGLCNtex	0.00	0.00	0.00	-19.60	19.60
5DOAN	239.08	173205.08	239.08	-339292.17	339730.55
A5PISO	0.00	141421.36	0.00	-277205.46	277205.46
AACPS1	-1972.40	223606.80	-1968.96	-440297.08	436359.17
AACPS2	-1972.40	223606.80	-1968.96	-440297.08	436359.17
AACPS3	-1972.40	223606.80	-1968.96	-440297.08	436359.17
AACPS4	-1972.40	223606.80	-1968.96	-440297.08	436359.17
AACPS5	-1972.40	223606.80	-1968.96	-440297.08	436359.17
AACPS6	-1972.40	223606.80	-1968.96	-440297.08	436359.17
AACPS7	-1972.40	223606.80	-1968.96	-440297.08	436359.17
AACPS8	-1972.40	223606.80	-1968.96	-440297.08	436359.17
AACPS9	-1972.40	223606.80	-1968.96	-440297.08	436359.17
AACTOOR	9.23	141421.36	9.23	-277245.52	277224.20
AADDGT	-0.00	200000.00	-5.16	-392044.36	392034.04
AAMYL	0.00	141421.36	0.00	-277205.46	277205.46
AAMYLpp	0.00	141421.36	0.00	-277205.46	277205.46
AB6PGH	239.08	173205.08	239.08	-339292.17	339730.55
ABTA	0.00	200000.00	1.72	-392037.48	392040.92
ABUTD	263.98	141421.36	260.54	-276964.52	277485.60
ABUTt2pp	0.00	0.00	-8.68	-28.28	10.92
ABUTtex	0.00	0.00	0.00	-19.60	19.60
ACACCT	0.00	200000.00	0.00	-392039.20	392039.20
ACACT1r	0.00	244948.97	0.00	-480139.19	480139.19
ACACt2pp	0.00	0.00	0.00	-19.60	19.60
ACACtex	0.00	0.00	0.00	-19.60	19.60
ACALD	24.91	173205.08	21.47	-339489.61	339572.31
ACALDtex	0.00	0.00	0.00	-19.60	19.60
ACALDtpp	0.00	0.00	0.00	-19.60	19.60
ACANTHAT	0.00	200000.00	0.00	-392039.20	392039.20
ACBIPGT	-1972.40	173205.08	-1965.52	-341486.68	337555.64
ACCOAC	-505.38	200000.00	-510.54	-392569.34	391548.26
ACCOAL	-1093.83	223606.80	-1090.39	-439418.52	437237.73
ACGAL1PPpp	-854.76	141421.36	-854.76	-278089.90	276340.61
ACGAL1Ptex	0.00	0.00	0.00	-19.60	19.60
ACGALtex	0.00	0.00	0.00	-19.60	19.60
ACGAM1PPpp	-854.76	141421.36	-854.76	-278089.90	276340.61
ACGAM1Ptex	0.00	0.00	0.00	-19.60	19.60
ACGAMK	-0.00	200000.00	1.72	-392037.48	392040.92
ACGAMT	0.00	200000.00	0.00	-392039.20	392039.20
ACGAptspp	0.00	200000.00	3.44	-392035.76	392042.64
ACGAtex	0.00	0.00	0.00	-19.60	19.60
ACGK	0.00	200000.00	1.72	-392037.48	392040.92
ACGS	-0.00	200000.00	-3.44	-392042.64	392035.76
ACHBS	-386.00	173205.08	-384.28	-339905.44	339136.88
ACKr	-1224.66	173205.08	-1221.22	-340742.38	338299.94
ACLS	-386.00	223606.80	-384.28	-438692.80	437924.25
ACM6PH	239.08	173205.08	242.52	-339288.73	339733.99
ACMAMUT	-0.00	200000.00	-5.16	-392044.36	392034.04
ACMANAptspp	0.00	200000.00	3.44	-392035.76	392042.64
ACMANAtex	0.00	0.00	0.00	-19.60	19.60
ACMUMptspp	0.00	200000.00	8.68	-392030.52	392047.89
ACMUMtex	0.00	0.00	0.00	-19.60	19.60
ACNAMt2pp	0.00	0.00	0.00	-19.60	19.60
ACNAMtex	0.00	0.00	0.00	-19.60	19.60
ACNML	0.00	173205.08	-0.00	-339531.25	339491.47
ACOAD1f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD2f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD3f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD4f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD5f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD6f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD7f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD8f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOATA	0.00	200000.00	-0.00	-392039.20	392039.20
ACODA	239.08	173205.08	237.36	-339293.89	339728.83
ACOLIPAtex	0.00	0.00	0.00	-19.60	19.60
ACONIs	0.00	141421.36	0.00	-277205.46	277205.46
ACONMT	0.00	200000.00	5.16	-392034.04	392044.36
ACONTa	-239.08	141421.36	-239.08	-277444.54	276966.38
ACONTb	239.08	141421.36	239.08	-276966.38	277444.54
ACOTA	0.00	200000.00	1.72	-392037.48	392040.92
ACPS1	-0.00	200000.00	-1.72	-392040.92	392037.48
ACS	-1972.40	223606.80	-1968.96	-440297.08	436359.17
ACSERtex	0.00	0.00	0.00	-19.60	19.60
ACSERtpp	0.00	0.00	0.00	-19.60	19.60
ACt2rpp	0.00	0.00	0.00	-19.60	19.60
ACt4pp	0.00	0.00	0.00	-39.20	39.20
ACtex	0.00	0.00	0.00	-19.60	19.60
ADA	159.66	141421.36	159.66	-277075.49	277355.03
ADCL	-0.00	173205.08	-1.72	-339532.97	339489.75
ADCS	0.00	200000.00	1.72	-392037.48	392040.92
ADD	159.66	141421.36	159.66	-277075.49	277355.03
ADEt2rpp	0.00	0.00	-8.68	-28.28	10.92
ADEtex	0.00	0.00	0.00	-19.60	19.60
ADK1	0.00	244948.97	1.72	-480137.47	480140.91
ADK3	0.00	200000.00	1.72	-392037.48	392040.92
ADK4	0.00	200000.00	1.72	-392037.48	392040.92
ADMDC	-386.00	141421.36	-387.72	-277622.87	276807.65
ADNCYC	-1972.40	141421.36	-1967.24	-279202.39	275228.13
ADNK1	-0.00	200000.00	1.72	-392037.48	392040.92
ADNUC	239.08	173205.08	239.08	-339292.17	339730.55
ADNt2pp	0.00	0.00	-8.68	-28.28	10.92
ADNt2rpp	0.00	0.00	-8.68	-28.28	10.92
ADNtex	0.00	0.00	0.00	-19.60	19.60
ADOCBIK	-0.00	200000.00	5.16	-392034.04	392044.36
ADOCBLS	-0.00	200000.00	-3.44	-392042.64	392035.76
ADOCBLabcpp	-854.76	141421.36	-853.04	-278107.78	276361.94
ADOCBLtonex	0.00	0.00	-8.68	-28.28	10.92
ADPRDP	239.08	173205.08	233.91	-339297.33	339725.39
ADPT	-1972.40	173205.08	-1962.08	-341483.24	337559.08
ADSK	-0.00	200000.00	-5.16	-392044.36	392034.04
ADSL1r	0.00	173205.08	6.88	-339524.37	339498.35
ADSL2r	0.00	173205.08	6.88	-339524.37	339498.35
ADSS	-1093.83	223606.80	-1102.43	-439430.56	437225.69
AGDC	239.08	173205.08	240.80	-339290.45	339732.27
AGM3PA	239.08	173205.08	240.80	-339290.45	339732.27
AGM3PApp	239.08	173205.08	240.80	-339290.45	339732.27
AGM3PH	239.08	173205.08	239.08	-339292.17	339730.55
AGM3Pt2pp	0.00	0.00	8.68	-10.92	28.28
AGM4PA	239.08	173205.08	240.80	-339290.45	339732.27
AGM4PApp	239.08	173205.08	240.80	-339290.45	339732.27
AGM4PCP	239.08	173205.08	239.08	-339292.17	339730.55
AGM4PCPpp	239.08	173205.08	239.08	-339292.17	339730.55
AGM4PH	239.08	173205.08	239.08	-339292.17	339730.55
AGM4Pt2pp	0.00	0.00	8.68	-10.92	28.28
AGMH	239.08	173205.08	239.08	-339292.17	339730.55
AGMHE	0.00	141421.36	0.00	-277205.46	277205.46
AGMT	36.21	141421.36	36.21	-277198.93	277231.58
AGMt2pp	0.00	0.00	0.00	-19.60	19.60
AGMtex	0.00	0.00	0.00	-19.60	19.60
AGPAT120	0.00	200000.00	0.00	-392039.20	392039.20
AGPAT140	0.00	200000.00	0.00	-392039.20	392039.20
