http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=07LIN/ALG_1584	07LIN/ALG	spectrophotometry	A	1.1.1.87	homoisocitrate dehydrogenase	C05662 + C00003 = C00322 + C00288 + C00004	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate(aq) + NAD(ox) = 2-oxoadipate(aq) + carbon dioxide(aq) + NAD(red)		0.45	298.15		7.5		1
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=63GRE_1058	63GRE	spectrophotometry	C	3.5.4.9	methenyltetrahydrofolate cyclohydrolase	C00445 + C00001 = C00234	5,10-methenyltetrahydrofolate(aq) + H2O(l) = 10-formyltetrahydrofolate(aq)		4.2	298.15		6.5		2
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		18	310.15		7.3	2.96	3
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		25	310.15		7.3	2.8	4
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		33	310.15		7.3	2.3	5
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		11	310.15		7.3		6
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		25	310.15		7.3		7
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		26	310.15		7.3		8
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		30	310.15		7.3		9
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		35	310.15		7.3	2.68	10
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		14	310.15		7.3	3.19	11
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		15	310.15		7.3		12
