Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
2agpg161[c]	0.00	100000.00	1955.54	-194074.14	197945.46	1.00e-05	2.00e-02
2agpg161[p]	0.00	100000.00	1955.54	-194074.14	197945.46	1.00e-05	2.00e-02
2agpg180[c]	0.00	100000.00	2235.03	-193794.66	198224.94	1.00e-05	2.00e-02
2agpg180[p]	0.00	100000.00	2235.03	-193794.66	198224.94	1.00e-05	2.00e-02
2agpg181[c]	0.00	100000.00	2141.87	-193887.82	198131.78	1.00e-05	2.00e-02
2agpg181[p]	0.00	100000.00	2141.87	-193887.82	198131.78	1.00e-05	2.00e-02
2ahbut[c]	0.00	100000.00	418.37	-195611.32	196408.28	1.00e-05	2.00e-02
2amsa[c]	0.00	100000.00	232.91	-195796.78	196222.82	1.00e-05	2.00e-02
2aobut[c]	0.00	100000.00	326.07	-195703.62	196315.98	1.00e-05	2.00e-02
2cpr5p[c]	0.00	100000.00	597.81	-195431.88	196587.72	1.00e-05	2.00e-02
2dda7p[c]	0.00	100000.00	458.07	-195571.62	196447.98	1.00e-05	2.00e-02
2ddecg3p[c]	0.00	100000.00	1396.57	-194633.12	197386.48	1.00e-05	2.00e-02
2ddecg3p[p]	0.00	100000.00	1396.57	-194633.12	197386.48	1.00e-05	2.00e-02
2ddg6p[c]	0.00	100000.00	364.91	-195664.78	196354.82	1.00e-05	2.00e-02
2ddglcn[c]	0.00	100000.00	418.37	-195611.32	196408.28	1.00e-05	2.00e-02
2ddglcn[e]	0.00	100000.00	418.37	-195611.32	196408.28	1.00e-05	2.00e-02
2ddglcn[p]	0.00	100000.00	418.37	-195611.32	196408.28	1.00e-05	2.00e-02
2dh3dgal6p[c]	0.00	100000.00	364.91	-195664.78	196354.82	1.00e-05	2.00e-02
2dh3dgal[c]	0.00	100000.00	418.37	-195611.32	196408.28	1.00e-05	2.00e-02
2dhglcn[c]	0.00	100000.00	418.37	-195611.32	196408.28	1.00e-05	2.00e-02
12dgr181[c]	0.00	100000.00	3353.84	-192675.85	199343.75	1.00e-05	2.00e-02
10fthf[c]	0.00	100000.00	974.76	-195054.93	196964.67	1.00e-05	2.00e-02
2dhguln[c]	0.00	100000.00	418.37	-195611.32	196408.28	1.00e-05	2.00e-02
12dgr120[c]	0.00	100000.00	2422.21	-193607.47	198412.13	1.00e-05	2.00e-02
2dhp[c]	0.00	100000.00	418.37	-195611.32	196408.28	1.00e-05	2.00e-02
12dgr181[p]	0.00	100000.00	3353.84	-192675.85	199343.75	1.00e-05	2.00e-02
2dmmq8[c]	0.00	100000.00	3260.67	-192769.02	199250.59	1.00e-05	2.00e-02
12ppd__R[c]	0.00	100000.00	372.65	-195657.04	196362.56	1.00e-05	2.00e-02
2dmmql8[c]	0.00	100000.00	3353.84	-192675.85	199343.75	1.00e-05	2.00e-02
12dgr120[p]	0.00	100000.00	2422.21	-193607.47	198412.13	1.00e-05	2.00e-02
2dr1p[c]	0.00	100000.00	415.79	-195613.90	196405.70	1.00e-05	2.00e-02
12dgr140[c]	0.00	100000.00	2794.86	-193234.83	198784.77	1.00e-05	2.00e-02
12dgr140[p]	0.00	100000.00	2794.86	-193234.83	198784.77	1.00e-05	2.00e-02
