Reaction ID	Standard reaction Gibbs energy (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed reaction Gibbs energy (kJ/mol)	Minimum transformed reaction Gibbs energy (kJ/mol)	Maximum transformed reaction Gibbs energy (kJ/mol)
10FTHF5GLUtl	0.00	0.00	-11.47	-29.29	6.34
10FTHF5GLUtm	0.00	0.00	-89.74	-107.55	-71.93
10FTHF6GLUtl	0.00	0.00	-14.54	-32.36	3.27
10FTHF6GLUtm	0.00	0.00	-104.73	-122.54	-86.91
10FTHF7GLUtl	0.00	0.00	-15.10	-32.91	2.72
10FTHF7GLUtm	0.00	0.00	-119.65	-137.46	-101.84
10FTHFtl	0.00	0.00	-4.93	-22.74	12.89
10FTHFtm	0.00	0.00	26.96	9.15	44.78
11DOCRTSLtm	0.00	0.00	0.00	-17.81	17.81
11DOCRTSLtr	0.00	0.00	0.00	-17.81	17.81
11DOCRTSTRNtm	0.00	0.00	0.00	-17.81	17.81
11DOCRTSTRNtr	0.00	0.00	0.00	-17.81	17.81
13DAMPPOX	-96.28	8.94	-96.13	-150.49	-78.59
1a_24_25VITD2Hm	-365.02	21.32	-364.34	-397.73	-292.04
1a_25VITD2Hm	-413.96	21.78	-413.28	-446.67	-340.99
1MNCAMti	17.80	4.53	18.94	-44.54	24.68
1PPDCRp	-67.33	11.76	-24.84	-60.47	10.79
24_25DHVITD2t	0.00	0.00	0.00	-17.81	17.81
24_25DHVITD2tm	0.00	0.00	-0.00	-17.81	17.81
24_25DHVITD3t	0.00	0.00	0.00	-17.81	17.81
24_25DHVITD3tm	0.00	0.00	-0.00	-17.81	17.81
24_25VITD2Hm	-443.84	20.60	-443.16	-476.55	-370.86
24_25VITD3Hm	-407.51	23.34	-406.83	-440.22	-334.53
24NPHte	0.00	0.00	2.02	-15.79	19.84
25HVITD2t	0.00	0.00	0.00	-17.81	17.81
25HVITD2tin_m	0.00	0.00	0.00	-17.81	17.81
25HVITD3t	0.00	0.00	0.00	-17.81	17.81
25HVITD3tin_m	0.00	0.00	0.00	-17.81	17.81
25VITD2Hm	-394.90	21.07	-394.22	-427.61	-321.92
25VITD3Hm	-365.02	23.77	-364.34	-397.73	-292.04
