Model Field	Xdim	Ydim	Evaluator	databaseid	qualifier	qualifierType	referenced Field	Default Value	DBPatterns	Property Description	Field Description	BasicFields	FieldBasisType	FBAFields
S	mets	rxns	isnumeric(x) || issparse(x)					0		Sparse or Full Matrix of Double	The stoichiometric matrix containing the model structure (for large models a sparse format is suggested)	'true(1)'	sparse	'true(1)'
mets	mets	1	iscell(x) && ~any(cellfun(@isempty, x)) && all(cellfun(@(y) ischar(y) , x))					['M' num2str(i)]		Column Cell Array of Strings	Identifiers of the metabolites	'true(1)'	cell	'false(1)'
b	mets	1	isnumeric(x)					0		Column Vector of Doubles	The coefficients of the constraints of the metabolites.	'false(1)'	numeric	'true(1)'
csense	mets	1	ischar(x)					E		Column Vector of Chars	The sense of the constraints represented by b, each row is either E (equality), L(less than) or G(greater than)	'false(1)'	char	'true(1)'
rxns	rxns	1	iscell(x) && ~any(cellfun(@isempty, x)) && all(cellfun(@(y) ischar(y) , x))					['R' num2str(i)]		Column Cell Array of Strings	Identifiers for the reactions.	'true(1)'	cell	'false(1)'
lb	rxns	1	isnumeric(x)					-1000		Column Vector of Doubles	The lower bounds for fluxes through the reactions.	'true(1)'	numeric	'true(1)'
ub	rxns	1	isnumeric(x)					1000		Column Vector of Doubles	The upper bounds for fluxes through the reactions.	'true(1)'	numeric	'true(1)'
c	rxns	1	isnumeric(x)					0		Column Vector of Doubles	The objective coefficient of the reactions.	'true(1)'	numeric	'true(1)'
osenseStr	NaN	NaN	ischar(x) && strcmpi(x,'max') || strcmpi(x,'min')					max		String	The objective sense either `'max'` for maximisation or `'min'` for minimisation	'false(1)'	char	'true(1)'
genes	genes	1	iscell(x) && ~any(cellfun(@isempty, x)) && all(cellfun(@(y) ischar(y) , x))					['G' num2str(i)]		Column Cell Array of Strings	Identifiers of the genes in the model	'true(1)'	cell	'false(1)'
rules	rxns	1	iscell(x) && all(cellfun(@(y) ischar(y) && verifyRuleSyntax(y) , x))					''		Column Cell Array of Strings	GPR rules in evaluateable format for each reaction ( e.g. "x(1) &#124; x(2) & x(3)", would indicate the first gene or both the second and third gene are necessary for the respective reaction to carry flux	'true(1)'	cell	'false(1)'
geneNames	genes	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))		is	bioQualifier	genes	model.genes{i}		Column Cell Array of Strings	Full names of each corresponding genes.	'false(1)'	cell	'false(1)'
compNames	comps	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))					model.comps{i}		Column Cell Array of Strings	Descriptions of the Compartments (compNames(m) is associated with comps(m))	'false(1)'	cell	'false(1)'
comps	comps	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))					['C' num2str{i}]		Column Cell Array of Strings	Symbols for compartments, can include Tissue information	'false(1)'	cell	'false(1)'
proteinNames	genes	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))					model.proteins{i}		Column Cell Array of Strings	Full Name for each Protein	'false(1)'	cell	'false(1)'
proteins	genes	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))					['COBRAProtein' num2str(i)]		Column Cell Array of Strings	Proteins associated with each gene.	'false(1)'	cell	'false(1)'
metCharges	mets	1	isnumeric(x)					NaN		Column Vector of Double	The charge of the respective metabolite (NaN if unknown)	'false(1)'	numeric	'false(1)'
metFormulas	mets	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))					''		Column Cell Array of Strings	Elemental formula for each metabolite.	'false(1)'	cell	'false(1)'
metSmiles	mets	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))					''		Column Cell Array of Strings	Formula for each metabolite in SMILES Format	'false(1)'	cell	'false(1)'
metNames	mets	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))					model.mets{i}		Column Cell Array of Strings	Full name of each corresponding metabolite.	'false(1)'	cell	'false(1)'
metNotes	mets	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))					''		Column Cell Array of Strings	Additional Notes for the respective metabolite.	'false(1)'	cell	'false(1)'
metHMDBID	mets	1	iscell(x) && all(cellfun(@(y) ischar(y) , x))	hmdb	is	bioQualifier	mets	''	^HMDB\d{5}$	Column Cell Array of Strings	HMDB identifier of the metabolite.	'false(1)'	cell	'false(1)'
