MicrobeID	Histidine degradation (histidine -> glutamate)	THF production (histidine -> tetrahydrofolate)	Glutamate production (glutamate -> acetate + pyruvate)	Putrescine_1	Putrescine_2	Putrescine_3	Spermidine/ Spermine production (methionine -> spermidine)	Cadaverine production (lysine -> cadaverine)	Cresol production (tyrosine -> cresol)	Indole production (tryptophan -> indole)	Phenol production (tyrosine -> phenol)	H2S_1	H2S_2	H2S_3	H2S_4	H2S_5
Achromobacter_xylosoxidans_NBRC_15126	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Acidaminococcus_fermentans_DSM_20731	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Acidaminococcus_intestini_RyC_MR95	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB0057	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_calcoaceticus_PHEA_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas_hydrophila_ML09_119	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas_veronii_B565	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_finegoldii_DSM_17242	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_shahii_WAL_8301	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Bacillus_atrophaeus_1942	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_03BB102	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_cereus_AH187_F4810_72	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_cereus_AH820	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_cereus_ATCC_10987	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacillus_cereus_ATCC_14579	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_cereus_B4264	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_cereus_E33L	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
Bacillus_cereus_FRI_35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_G9842	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_cereus_NC7401	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_cereus_Q1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_clausii_KSM_K16	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Bacillus_halodurans_C_125	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_megaterium_DSM319	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_638R	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_NCTC_9343	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_YCH46	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron_VPI_5482	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Bacteroides_vulgatus_ATCC_8482	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteroides_xylanisolvens_XB1A	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0
Bifidobacterium_animalis_lactis_AD011	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Bifidobacterium_animalis_lactis_BB_12	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Bifidobacterium_bifidum_BGN4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bifidobacterium_bifidum_PRL2010	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Brachyspira_pilosicoli_WesB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Brevibacillus_brevis_NBRC_100599	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Burkholderia_cenocepacia_MC0_3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Campylobacter_concisus_13826	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_curvus_525_92	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_RM1221	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_lari_RM2100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Citrobacter_koseri_ATCC_BAA_895	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
Clostridioides_difficile_630	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0
Clostridioides_difficile_CD196	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Clostridioides_difficile_R20291	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Clostridium_perfringens_ATCC_13124	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Comamonas_testosteroni_CNB_2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Coprococcus_catus_GD_7	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Corynebacterium_aurimucosum_ATCC_700975	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Cronobacter_sakazakii_ATCC_BAA_894	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Cronobacter_sakazakii_ES15	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Cronobacter_sakazakii_SP291	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Delftia_acidovorans_SPH_1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Edwardsiella_tarda_C07_087	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella_tarda_EIB202	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella_tarda_FL6_60	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0
Enterobacter_aerogenes_EA1509E	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Enterobacter_aerogenes_KCTC_2190	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_042	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_536	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_55989	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_ABU_83972	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_APEC_O1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_APEC_O78	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_ATCC_8739	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_BW2952	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_CFT073	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_DH1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_DH1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_E24377A	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_ED1a	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_ETEC_H10407	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_HS	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_IAI1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_IAI39	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_IHE3034	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_LF82	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_NA114	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_SE11	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_fergusonii_ATCC_35469	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1
Eubacterium_eligens_ATCC_27750	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eubacterium_rectale_ATCC_33656	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Faecalibacterium_prausnitzii_L2_6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter_pylori_908	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Klebsiella_oxytoca_KCTC_1686	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1
Klebsiella_pneumoniae_KCTC_2242	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Klebsiella_pneumoniae_NTUH_K2044	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
