GeneID	GeneName	log2FC	PValue	
HGNC:11858	TSPAN6	-0.196774723	0.733608386	
HGNC:17757	TNMD	-8.222427261	1.14E-05	
HGNC:3005	DPM1	0.068483939	0.833040252	
HGNC:19285	SCYL3	0.887680395	0.055529182	
HGNC:25565	C1orf112	1.271758902	0.019866978	
HGNC:3697	FGR	-3.093053359	0.000177035	
HGNC:4883	CFH	-4.502833152	4.46E-07	
HGNC:4008	FUCA2	-0.075380131	0.808097254	
HGNC:4311	GCLC	-0.857113389	0.044074749	
HGNC:7804	NFYA	1.075849852	0.007181866	
HGNC:28070	STPG1	0.110193259	0.74158918	
HGNC:25233	NIPAL3	0.697348427	0.238836555	
HGNC:25726	LAS1L	0.994097401	0.006702209	
HGNC:3359	ENPP4	-1.385012109	0.045725763	
HGNC:10728	SEMA3F	1.678875565	0.001938955	
HGNC:1884	CFTR	-3.27638822	0.015118093	
HGNC:22215	ANKIB1	0.156158926	0.719795159	
HGNC:2649	CYP51A1	1.552357724	0.056173564	
HGNC:1573	KRIT1	-0.241514271	0.433915973	
HGNC:9824	RAD52	0.769808046	0.19025716	
HGNC:31038	MYH16	1.429842741	0.063260139	
HGNC:936	BAD	1.300126572	0.011579067	
HGNC:18449	LAP3	-0.759806842	0.077536121	
HGNC:7082	CD99	-1.572878029	0.005696975	
HGNC:5194	HS3ST1	-1.421587074	0.009531653	
HGNC:80	AOC1	-0.545088826	0.526344993	
HGNC:16267	WNT16	-0.38281797	0.753646284	
HGNC:22195	HECW1	0.485017195	0.548671404	
HGNC:6762	MAD1L1	0.67880634	0.076775889	
HGNC:6513	LASP1	0.318800764	0.375169532	
HGNC:14975	SNX11	-0.36249839	0.250357305	
HGNC:24930	TMEM176A	-0.647875688	0.381268298	
HGNC:6752	M6PR	-0.245437115	0.564441376	
HGNC:22931	KLHL13	-2.323336775	0.037671036	
HGNC:20581	CYP26B1	-4.77308002	2.94E-07	
HGNC:5343	ICA1	1.065002968	0.009717431	
HGNC:28455	DBNDD1	3.630688735	0.00010456	
HGNC:443	ALS2	-0.354283255	0.165742293	
HGNC:1500	CASP10	-2.46773046	0.002205917	
HGNC:1876	CFLAR	-2.363410684	0.000189463	
HGNC:11760	TFPI	-0.584377024	0.628926993	
HGNC:28816	NDUFAF7	0.217254447	0.510006464	
HGNC:9902	RBM5	-0.58674755	0.087859632	
HGNC:7454	MTMR7	0.732407958	0.204190158	
HGNC:11060	SLC7A2	1.1365956	0.395404524	
HGNC:658	ARF5	1.38651703	0.008408209	
HGNC:17074	SARM1	1.344847842	0.107326603	
HGNC:23781	POLDIP2	0.807362225	0.006289921	
HGNC:9107	PLXND1	-0.577290375	0.220240196	
HGNC:362	AK2	0.441797723	0.15349802	
HGNC:1667	CD38	-2.753071585	0.002840031	
HGNC:3720	FKBP4	2.677692619	2.43E-05	
HGNC:29079	KDM1A	0.824752306	0.044923657	
HGNC:9903	RBM6	-0.429896421	0.261058535	
HGNC:1469	CAMKK1	0.563292186	0.33146323	
HGNC:9948	RECQL	-1.231199679	0.01052549	
HGNC:25956	VPS50	-0.049047122	0.907109819	
HGNC:26511	HSPB6	-5.139159383	0.000747705	
HGNC:23085	ARHGAP33	1.517393515	0.020914521	
HGNC:7694	NDUFAB1	0.957197388	0.010097406	
HGNC:8812	PDK4	-4.829399456	0.000196811	
HGNC:20302	SLC22A16	1.181845975	0.24890917	
HGNC:19412	ZMYND10	3.529843825	0.006965676	
HGNC:46	ABCB5	-5.939854322	0.000214196	
HGNC:18060	ARX	4.874820809	0.023990023	
HGNC:10983	SLC25A13	0.164105246	0.514269099	
HGNC:11351	ST7	-0.370531985	0.281441643	
HGNC:1728	CDC27	-0.25356885	0.473741046	
